P32_ALL,DIFFRACTION_ALL,INVERSION_AI,FAULTS,VREZY,TOLSCHI,FUNDAMENT,PROVODKA,DH_B_R0,DIFFRACTION_ALL_SM,MAX_DIFFRACTION,MIN_DIFFRACTION,STACK_MINUS_MAX_DIFFRACTION,STACK_MINUS_MIN_DIFFRACTION,STACK_MULT_MAX_DIFFRACTION,STACK_MULT_MIN_DIFFRACTION,PERV,INVERSION_AI_COLL,THICKNESS_R0_R4,RMS_AMPLITUDE,FAULTS_PROBABILITY,FAULTS_AND_FAULTS_PROBABILITY,WELL
0.1329203844,1.0492838621,19325.851563,1784.5645752,4938.0761719,815.3081665,11277.800781,75.933044434,197.45098877,1.771999836,3.5623159409,0.0812803358,4.8895606995,8.3705968857,3.9456131458,0.0860091671,9.5198764801,19336.494141,251.415802,4282096.5,237.86349487,237.86349487,0
0.1420307159,1.2391849756,19349.767578,1789.682373,4944.0751953,818.33880615,11270.271484,76.896499634,197.06988525,1.7761220932,4.2309236526,0.0739483982,5.7325401306,9.8895158768,5.4899053574,0.0948815718,9.4433736801,19357.201172,251.76821899,4380322.0,241.84744263,241.84744263,0
0.1497165114,1.4182913303,19369.5,1794.800415,4950.234375,821.41333008,11262.738281,77.851989746,196.68536377,1.7797293663,4.9004669189,0.0635666847,6.4819803238,11.318880081,6.9962382317,0.0930550694,9.3700237274,19374.078125,252.12895203,4458051.0,245.82022095,245.82022095,0
0.1724500954,1.4810240269,19382.138672,1799.953125,4955.6835938,824.73071289,11255.210938,78.557952881,196.28866577,1.7807238102,4.9557237625,0.0984260365,6.9140138626,11.771312714,7.3674349785,0.1507743597,9.3403930664,19384.705078,252.52008057,4506868.0,250.68315125,250.68315125,0
0.2167022675,1.5460350513,19388.146484,1805.1279297,4961.1557617,828.04370117,11247.694336,79.096061707,195.89178467,1.7811267376,5.0227475166,0.146704644,7.3540835381,12.230127335,7.7818322182,0.2317021489,9.317530632,19388.863281,252.92254639,4536850.0,255.55343628,255.55343628,0
0.3401609659,1.6058585644,19386.910156,1810.3127441,4966.4609375,831.434021,11240.188477,79.586250305,195.48739624,1.780328989,4.9240875244,0.2078221291,7.9307346344,12.647000313,7.9078273773,0.3398707807,9.2964630127,19385.832031,253.34609985,4542941.5,260.76507568,260.76507568,0
0.6491105556,1.6685726643,19368.546875,1815.5419922,4971.6337891,834.9118042,11232.722656,79.852600098,195.07437134,1.7780311108,4.5876908302,0.2790343761,8.7818470001,13.090503693,7.6655163765,0.4790056348,9.2844705582,19365.539063,253.79818726,4486114.5,266.43768311,266.43768311,0
1.1758111715,1.7490049601,19348.671875,1820.7713623,4977.0478516,838.43609619,11225.259766,80.120178223,194.66020203,1.7754836082,4.2826595306,0.3606288731,9.7447147369,13.666744232,7.5529408455,0.6445344687,9.2731647491,19343.515625,254.25997925,4417367.5,272.05706787,272.05706787,0
1.871366024,1.8293144703,19310.628906,1826.0531006,4982.2539063,842.11639404,11217.841797,80.375350952,194.23513794,1.771630168,4.0237321854,0.3725243509,10.651820183,14.303028107,7.398396492,0.6903984547,9.2613782883,19302.691406,254.74539185,4269123.5,278.28411865,278.28411865,0
2.6609520912,1.8942539692,19267.880859,1831.3491211,4987.4921875,845.81634521,11210.4375,80.627349854,193.80743408,1.767385602,3.7476429939,0.3539940119,11.449204445,14.842853546,7.1238770485,0.6741120815,9.2489881516,19256.773438,255.23536682,4095280.5,284.56033325,284.56033325,0
